AGRICULTURE AND FARMER WELFARE SCHEMES,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Mukhyamantri Kisan Sahay Yojana,Provides financial assistance to farmers during crop failure,Offline,"Cash Aid, Crop Insurance","Aadhaar Card, Land Ownership Proof"
Gujarat Farmer Crop Insurance Scheme,Insurance cover for crop loss due to natural calamities,Offline,"Insurance Payout, Risk Coverage","Aadhaar Card, Crop Details"
Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop insurance scheme for farmers across Gujarat,Hybrid,"Insurance, Risk Management","Aadhaar Card, Land Records"
Gujarat Organic Farming Scheme,Promotes organic agriculture practices,Online,"Training, Subsidies, Certification","Aadhaar Card, Land Ownership Proof"
Mukhyamantri Kisan Fertilizer Subsidy Scheme,Subsidy on fertilizers for small and marginal farmers,Offline,"Subsidy Support, Fertilizer Supply","Aadhaar Card, Land Records"
Gujarat Solar Irrigation Pump Scheme,Supports solar-powered irrigation systems,Hybrid,"Pump Installation, Subsidy","Aadhaar Card, Land Proof, Bank Account"
Krishi Vigyan Kendra (KVK) Gujarat Extension Services,Provides technical guidance to farmers,Online,"Training, Demonstration, Workshops","Aadhaar Card, Farmer ID"
Mukhyamantri Kisan Credit Card Scheme,Provides easy credit to farmers for agricultural needs,Offline,"Credit Card, Loan Facility","Aadhaar Card, Land Records, Bank Account"
Gujarat Green Revolution Scheme,Promotes high-yield variety crops and modern practices,Hybrid,"Seeds, Training, Subsidy","Aadhaar Card, Land Proof"
Pradhan Mantri Krishi Sinchai Yojana (PMKSY),Supports irrigation and water conservation for farmers,Hybrid,"Irrigation Assistance, Training","Aadhaar Card, Land Records"
Mukhyamantri Kisan Samruddhi Yojana,Financial aid and inputs for small farmers,Offline,"Cash Assistance, Fertilizers, Seeds","Aadhaar Card, Land Records"
Gujarat Agriculture Machinery Subsidy Scheme,Provides tractors and machinery at subsidized rates,Hybrid,"Machinery Supply, Subsidy","Aadhaar Card, Land Proof"
Gujarat Organic Certification Assistance,Supports farmers for organic certification,Online,"Certification Support, Training","Aadhaar Card, Land Records"
Mukhyamantri Kisan Gruh Rin Yojana,Low-interest loans for farmers’ household needs,Offline,"Loan Assistance, Interest Subsidy","Aadhaar Card, Land Proof, Bank Account"
Gujarat Micro Irrigation Scheme,Promotes drip & sprinkler irrigation systems,Hybrid,"Installation, Subsidy","Aadhaar Card, Land Records"
National Horticulture Mission (Gujarat),Supports horticulture crop cultivation,Hybrid,"Training, Inputs, Subsidy","Aadhaar Card, Land Records"
Mukhyamantri Rabi Fasal Bima Yojana,Crop insurance for Rabi season farmers,Offline,"Insurance Claim, Risk Coverage","Aadhaar Card, Land Records, Crop Details"
Gujarat Water Conservation Scheme,Promotes rainwater harvesting and water management,Online,"Training, Infrastructure Support","Aadhaar Card, Land Records"
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Income support for small & marginal farmers,Online,Cash Transfer,"Aadhaar Card, Land Records, Bank Account"
Mukhyamantri Kisan Shree Yojana,Financial assistance for farming equipment,Offline,"Cash Aid, Machinery Support","Aadhaar Card, Land Records"
Gujarat Seed Development Scheme,Provides quality seeds for various crops,Hybrid,"Seed Supply, Subsidy","Aadhaar Card, Land Records"
Gujarat Soil Health Card Scheme,Soil testing and health advisory for farmers,Online,"Testing, Advisory","Aadhaar Card, Land Records"
Mukhyamantri Kisan Market Assistance Scheme,Support for selling farm produce at fair prices,Offline,"Market Access, Storage Facility","Aadhaar Card, Farmer ID"
Gujarat Agriculture Extension Program,Training & workshops on modern farming techniques,Hybrid,"Workshops, Demonstrations","Aadhaar Card, Farmer ID"
Pradhan Mantri Cold Chain Scheme,Creates storage & transport facilities for farm produce,Hybrid,"Cold Storage Facility, Subsidy","Aadhaar Card, Land Proof"
Mukhyamantri Kisan Smart Farming Yojana,Promotes technology-enabled farming,Online,"IoT Tools, Training, Advisory","Aadhaar Card, Land Records"
Gujarat Rainfed Area Development Scheme,Support for farmers in rainfed regions,Offline,"Seeds, Irrigation, Training","Aadhaar Card, Land Records"
Mukhyamantri Kisan Dugdh Sahyog Yojana,Supports dairy farmers with financial aid,Hybrid,"Milk Collection, Subsidy","Aadhaar Card, Dairy License"
Gujarat Fisheries Development Scheme,Promotes fishery and aquaculture activities,Offline,"Training, Subsidy, Inputs","Aadhaar Card, Land/Water Body Proof"
Mukhyamantri Horticulture Development Scheme,Supports horticulture & floriculture farmers,Hybrid,"Inputs, Training, Subsidy","Aadhaar Card, Land Records"
Gujarat Farm Mechanization Scheme,Provides farm machinery to enhance productivity,Hybrid,"Tractors, Tools, Training","Aadhaar Card, Land Proof"
Mukhyamantri Kisan Pesticide Subsidy Scheme,Subsidy for agricultural chemicals,Hybrid,"Fertilizer/Pesticide Supply, Advisory","Aadhaar Card, Land Proof"
Gujarat Organic Farming Promotion Scheme,Training & financial support for organic farmers,Online,"Training, Certification, Subsidy","Aadhaar Card, Land Records"
Mukhyamantri Kisan Crop Storage Scheme,Support for constructing storage facilities,Offline,Warehouse/Storage Assistance,"Aadhaar Card, Land Proof"
Gujarat Farmer Training & Workshop Program,Skill development & awareness programs,Online,"Workshops, Field Demonstration","Aadhaar Card, Farmer ID"
Mukhyamantri Kisan Beej Yojana,Subsidized seeds distribution to farmers,Hybrid,"Seed Supply, Training","Aadhaar Card, Land Records"
Gujarat Agricultural Credit Facilitation Scheme,Provides low-interest loans to farmers,Offline,"Credit, Loan Assistance","Aadhaar Card, Land Records, Bank Account"
Mukhyamantri Kisan Solar Dryer Scheme,Supports solar dryers for crop preservation,Hybrid,"Installation, Subsidy","Aadhaar Card, Land Proof"
Gujarat Drip Irrigation Subsidy Scheme,Promotes water-efficient irrigation systems,Online,"Drip/Sprinkler Setup, Subsidy","Aadhaar Card, Land Records"
Mukhyamantri Farmer Loan Waiver Scheme,Provides relief for certain agricultural loans,Offline,"Loan Waiver, Financial Relief","Aadhaar Card, Bank Loan Records"
Gujarat Crop Diversification Scheme,Encourages cultivation of high-value crops,Online,"Training, Subsidy, Seeds","Aadhaar Card, Land Records"
Mukhyamantri Kisan Krishi Input Yojana,"Financial support for seeds, fertilizers, pesticides",Hybrid,"Cash Subsidy, Inputs","Aadhaar Card, Land Proof"
Gujarat Organic Input Subsidy Scheme,Supports organic inputs for farmers,Online,"Fertilizers, Bio-Inputs","Aadhaar Card, Land Records"
Mukhyamantri Animal Husbandry Support Scheme,Assists livestock farmers with aid & training,Offline,"Feed, Veterinary Support, Subsidy","Aadhaar Card, Livestock Records"
Gujarat Farmer Producer Organization (FPO) Scheme,Promotes farmer collectives for marketing,Online,"Training, Market Access, Subsidy","Aadhaar Card, FPO Registration"
Mukhyamantri Kisan Crop Processing Assistance Scheme,Supports small-scale food processing units,Hybrid,"Machinery, Training, Subsidy","Aadhaar Card, Land Records"
Gujarat Kisan E-Market Portal,Facilitates online sale of farm produce,Online,"Marketplace, Price Discovery","Aadhaar Card, Farmer ID"
Mukhyamantri Kisan Farm Pond Scheme,Supports construction of farm ponds for irrigation,Offline,"Construction, Subsidy","Aadhaar Card, Land Records"
Gujarat Agroforestry Promotion Scheme,Encourages trees on farmland for income & environment,Hybrid,"Training, Inputs, Subsidy","Aadhaar Card, Land Records"
Mukhyamantri Kisan Micro Irrigation Subsidy Scheme,Promotes efficient water use for farmers,Hybrid,"Drip/Sprinkler, Subsidy","Aadhaar Card, Land Records"
Gujarat Agricultural Mechanization Training Program,Skill training for modern agriculture machinery,Online,"Workshops, Demonstrations","Aadhaar Card, Farmer ID"
