DIGITAL GUJRAT/E-GOVERNANCE,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Digital Gujarat Portal,Unified online platform for citizen services,Online,Single window for 190+ services,"Aadhaar Card, Mobile Number, Email ID"
e-Gram Vishwagram Yojana,ICT-enabled village service centers,Offline/Hybrid,"Online certificates, utility payments, digital access","Aadhaar Card, Residence Proof"
Apno Taluko Vibrant Taluko (ATVT),Decentralized service delivery centers at Taluka level,Offline/Hybrid,Access to government schemes near home,"Aadhaar Card, Proof of Residence"
iNDEXTb Portal,Single-window for investors in Gujarat,Online,"Investment facilitation, approvals, incentives","Aadhaar Card, Business Registration, PAN"
Online Ration Card Services,"Apply, renew, or modify ration cards",Online,Food security access made easy,"Aadhaar Card, Proof of Residence"
e-Dhara Portal,Computerized land records system,Online,"Certified land records, transparency","Aadhaar Card, Land Ownership Proof"
AnyRoR @ Anywhere Gujarat,Access land records online,Online,"7/12 extract, property details","Aadhaar Card, Land Survey Number"
Digital Locker Integration,Store and access documents digitally,Online,"Paperless governance, secure storage","Aadhaar Card, Mobile Number"
Gujarat e-District Project,Online citizen services at district level,Online,"Certificates, licenses, permissions","Aadhaar Card, Proof of Residence"
Online Widow Assistance Portal,Apply for widow pension digitally,Online,"Faster processing, transparency","Aadhaar Card, Death Certificate"
Scholarship Portal (Digital Gujarat),Online scholarships for students,Online,Financial aid for education,"Aadhaar Card, Caste Certificate, School/College ID"
Mukhyamantri Digital Seva Setu Yojana,Provide government services at village level,Offline/Hybrid,Free/affordable services at Gram Panchayat,"Aadhaar Card, Proof of Residence"
Gujarat e-Procurement System,Online tenders & bidding,Online,Transparent procurement,"Aadhaar Card, Business Registration, PAN"
Digital Payment Integration for Govt Fees,Pay fees online for services,Online,Cashless transactions,"Aadhaar Card, Net Banking/UPI"
e-Challan System,Traffic challan management online,Online,"Transparency, easy payments","Aadhaar Card, Vehicle RC"
Online RTI Portal,File RTI applications digitally,Online,Access to information,"Aadhaar Card, Email ID"
VIDHYASHAKTI Portal,Teacher & student services online,Online,Education management system,"Aadhaar Card, School ID"
Digital Electoral Roll Services,"Check, update voter lists online",Online,"Transparency, access","Aadhaar Card, Voter ID"
Online Senior Citizen Certificate,Apply digitally for benefits,Online,"Concessions, welfare access","Aadhaar Card, Age Proof"
Gujarat e-Kosh System,Computerized treasury management,Online,Financial transparency,"Aadhaar Card, Employee ID"
Revenue e-Services Portal,Land revenue & tax services online,Online,"Convenience, paperless process","Aadhaar Card, Land Ownership Proof"
E-Seva Kendras,Physical kiosks for e-governance services,Offline/Hybrid,Easy access for rural citizens,"Aadhaar Card, Application Forms"
Smart City Digital Platforms,Smart city services via apps,Online,"Transport, utilities, alerts","Aadhaar Card, Residence Proof"
Digital Gujarat University Portal,Online education services,Online,"Student registration, exams, certificates","Aadhaar Card, College ID"
Digital Health Card Services,Health records online,Online,"Portable, lifelong records","Aadhaar Card, Health ID"
Online Caste Certificate Services,Apply for caste certificates online,Online,Faster access to welfare,"Aadhaar Card, Caste Proof"
Digital Land Mutation Services,Apply land mutation online,Online,Faster property transfer,"Aadhaar Card, Land Records"
e-Mamo Gujarat,Online mamlatdar services,Online,Revenue services access,"Aadhaar Card, Application ID"
Property Registration e-Services,Property registration online,Online,"Transparency, reduced delays","Aadhaar Card, Property Proof"
Online Non-Creamy Layer Certificate,Apply digitally for NCL,Online,Eligibility for reservations,"Aadhaar Card, Income Certificate"
e-Office Implementation,Workflow automation for govt offices,Online,Faster file movement,"Aadhaar Card, Employee ID"
