EDUCATION SCHEMES,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
ICDS – Anganwadi Services,"Pre-school education, nutrition, health & learning for ages 3–6",Offline,"Free meals, growth monitoring, early learning","Birth proof, Aadhaar, residence"
Samagra Shiksha – Pre-Primary Education,Pre-school classes (Nursery/LKG/UKG) in schools with support materials,Offline,"Free schooling, uniforms, textbooks, midday meal","Enrollment form, Aadhaar"
RTE Admission & DBT,"Freeizing Std 1 admission & ₹3,000/year for materials",Hybrid,Admission + DBT for books/materials,"Income, Aadhaar, address, birth cert"
Free Uniforms & Textbooks (Std 1),Uniform and book provision for Class 1 children in government schools,Offline,2 sets of uniforms & textbooks,"Enrolment slip, Aadhaar"
Kanya Kelavani Yojana,Incentives to enroll and retain girl students in early classes,Offline,"Incentives, free materials for girl students","Birth cert, school admission"
Uniform Assistance Scheme,₹300 for two uniform pairs for primary school children,Offline,Uniform aid (includes Class 1),Enrollment proof
Midday Meal Scheme (PM-POSHAN),Free cooked lunch in primary and Anganwadi settings,Offline,Nutritious midday meal for children,No extra docs beyond school enrollment
Padhe Bharat Badhe Bharat (SSA Sub-Scheme),Early literacy support for Classes I–II,Offline,"Print-rich environment, books, teacher support",School enrollment
Shala Praveshotsav (Enrollment Drive),State-wide campaign to enroll children into KG & Class 1,Offline,"Enrollment outreach, educational kits, awareness","Birth cert, admission proof"
Mukhyamantri Gyan Sadhana Merit Scholarship,"Merit scholarship for Classes 1–8 students (₹41 cr disbursed recently to 50,000 students)",Hybrid,DBT scholarship for meritorious students,"Academic records, school ID, bank details"
Mukhyamantri Gyan Setu Merit Scholarship,"Merit scholarship post-Class 5 (₹31 cr disbursed to 60,000 students)",Hybrid,DBT scholarship after standard 5 completion,"School completion proof, other documents"
Pre-SSC Scholarship (SC – Parixitlal Majmudar),"₹750/year for Classes 1–5; Classes 6–8 boys ₹750, girls ₹1,000",Hybrid,Annual financial aid for SC students in Classes 1–8,"SC certificate, enrollment proof"
Scholarships to Disabled Students,Aid for students ≥40% disability in Classes 1–7,Hybrid,"₹1,000/year (Classes 1–7)","Disability certificate, income proof, attendance"
Special Scholarship for Boys & Girls (Specific Castes),₹650/year for eligible caste groups (Classes 1–10),Hybrid,Annual financial support to specific communities’ students,"Caste, enrollment, attendance proofs"
Pre-Matric Scholarship for Minority & SEBC Students,Financial support for minority/SEBC students in Classes 1–9,Hybrid,"Varies by category (e.g. ₹1,000–₹6,000)","Minority/SEBC cert, income, marks, school proof"
Gyansetu Scholarship (Class 6–8),Merit scholarships via exam for Class 6–8,Hybrid,"₹5,000/year (govt), ₹20,000/year (private)","School ID, caste, income, Aadhaar, photo"
Shikshan Sahay Yojana,"Assistance up to ₹30,000 for education (Classes 1–12)",Hybrid,Financial help based on need,Scheme-specific documents
KGBV – Kasturba Gandhi Balika Vidyalaya (Girls),Residential schooling for disadvantaged girls (Class 1–7 and above),Offline,"Free education, boarding, lodging, materials",Girl-child from SC/ST/OBC/minority
Midday Meal (PM-POSHAN),Free cooked lunch for Classes 1–7,Offline,Daily nutritious mid-day meal,Enrollment only
Samagra Shiksha/SSA Support,"Books, uniforms, infrastructure & teaching aids up to Class 8",Offline,Free educational materials & infrastructure,Enrollment proof
Vidyanjali Volunteer Program,Community volunteer support for co-scholastic learning (Classes 1–8),Offline,"Life-skills, art, extracurricular activities",Enrollment proof
Namo Lakshmi Yojana,"Financial support for girls: ₹10,000/year (Classes 9–10), ₹15,000/year (Classes 11–12)",Hybrid,Annual cash assistance to encourage continuation in school(DBT),"Aadhaar, school enrollment, gender proof, bank details"
Namo Saraswati Vigyan Sadhana Yojana,"₹25,000 over two years for science-stream students in Classes 11–12",Hybrid,Development support for science education,"Stream certificate, class proof, Aadhaar, bank details(DBT)"
Higher Secondary Scholarship (Minority),Annual scholarship for minority students in higher secondary,Hybrid,"₹1,140/year has  been given","Minority certificate, income proof (≤ ₹1.5 L), Aadhaar, school ID, mark sheet"
Higher Secondary Scholarship (SEBC),Scholarship for SEBC students in Classes 11–12,Hybrid,"≤ ₹1,140/year depending on hosteller/day scholar status","SEBC cert, income proof, Aadhaar, school docs"
Post-SSC Scholarship – NTDNT / SEBC,Scholarships from Class 11 through higher education for NTDNT and SEBC communities,Hybrid,Monthly stipend (~₹280/month) for eligible categories,"Caste/community certificate, school proof, income proof"
Post-Matric Scholarship (SC / ST / OBC),Financial aid for SC/ST/OBC students in Class 11–12 post-matriculaton,Hybrid,Varies by category eligibility and income thresholds,"Caste certificate, income proof, enrollment, Aadhaar"
Mukhyamantri Yuva Swavalamban Yojana (MYSY),Support for students post-Class 12 or diploma with ≥80% marks for further technical/degree studies,Hybrid,"Tuition and fee assistance (up to ₹2,00,000)","Marksheet, income proof (≤ ₹6 L), Aadhaar"
Sitaram Jindal Scholarship,Financial stipend for students in Classes 11 & 12 (specific scholarship),Hybrid,"₹500 for boys, ₹700 for girls","Likely standard: school ID, Aadhaar, income proof, mark sheet"
Shikshan Sahay Yojana (Higher Secondary level),Financial support for education—covers Classes 1–12 inclusive of higher secondary,Hybrid,"Assistance from ₹500 to ₹30,000 depending on needs","Scheme-specific, likely school & income proofs"
Mukhyamantri Yuva Swavalamban Yojana (MYSY),Financial aid for diploma students who scored ≥ 80% in Class 10; or ≥ 65% in diploma continuing to degree,Hybrid,"Tuition support up to ₹2 lakh, ₹12,000 for food, ₹10,000 for books/equipment","Marksheet, income certificate (≤ ₹6 lakh), Aadhaar, admission proof"
Swami Vivekanand Stipend Scheme (Technical/Diploma),Monthly stipend support for diploma and professional technical courses under various categories,Hybrid,₹125/month for professional courses; ₹400/month for ITI courses; varies by category,"Income certificate, category certificate, enrollment proof"
Instrumental Assistance – Diploma Students (SEBC / SC),"One-time reimbursement for educational tools (e.g., books, equipment) for diploma students",Hybrid,"₹3,000 (Diploma – SEBC); similarly for SC category","Income certificate, category certificate, college admission proof"
Educational Assistance for NTDNT Diploma Students,One-time support for diploma students from NTDNT category studying in self-financed institutions,Hybrid,"Up to ₹50,000 per year","NTDNT certificate, income proof, enrollment proof"
AVL: GUEEDC Overseas Study Loan Scheme (Diploma),Loans for higher education abroad including diploma—up to ₹15 lakh with 4% interest,Hybrid,Education loans for diploma or higher study abroad,"Class 12 marks ≥ 60%, income certificate (≤ ₹6 lakh), passport/admission"
Basket of Digital Gujarat Post-Matric Support,"Broader scholarships for higher technical studies, including diploma, across categories",Hybrid,Broad support likely includes stipends and fee reimbursement,"Varies by specific scheme—typically income, enrollment, category proofs"
AICTE Pragati Scholarship (for Diploma),Scholarship for girl students in AICTE-approved diploma courses,Online,"₹50,000/year scholarship (Max 3 years or 2 years for lateral entry)","Class 10 certificate, diploma admission proof, income certificate, Aadhaar, etc."
Post-Matric Scholarship (SC/ST/SEBC/NTDNT),Scholarships for diploma and higher education for students from these communities,Hybrid,Financial aid per category (varies by income & type),"Caste/community certificate, income proof, enrollment"
Mukhyamantri Yuva Swavalamban Yojana (MYSY),Financial assistance for UG & PG students of Gujarat with income ≤ ₹6 lakh/year,Online,"Tuition fee support, hostel support, book allowance","Income Certificate, Aadhaar, Admission proof, Fee receipt"
Digital Gujarat Scholarship (Post-Matric),Umbrella portal for OBC/SC/ST/Minority/SEBC students – UG & PG,Online,Scholarship disbursal (DBT),"Caste, Income, Bank passbook, Aadhaar, Admission letter"
SC/ST Post-Matric Scholarship,Support for SC/ST UG & PG students in Gujarat colleges,Online,"Tuition, maintenance, exam fees","Caste, Income, Aadhaar, Admission proof"
OBC/SEBC Post-Matric Scholarship,Financial help for OBC/SEBC UG & PG students,Online,"Tuition, hostel, exam fees","Caste, Income, Aadhaar, Admission slip"
Minority Post-Matric Scholarship (Gujarat),For UG & PG minority community students,Online,"Fee reimbursement, maintenance allowance","Minority proof, Income, Aadhaar, Bank passbook"
EWS Scholarship (UG/PG),For General category (EWS) students with income ≤ ₹8 lakh,Online,Tuition fee concession,"EWS certificate, Aadhaar, Admission details"
Higher Education Assistance Scheme (Gujarat Govt.),Special financial aid for poor UG & PG students in state,Hybrid,Tuition & hostel support,"Income, Admission proof, Identity docs"
Research Fellowship Scheme (PG & PhD),Fellowship for PG (Masters) students continuing to research,Hybrid,Monthly stipend ,"Admission proof, Research proposal, Aadhaar"
Tribal Development Scholarship (Post-Matric),UG & PG level scholarship for ST students,Online,"Tuition, hostel, maintenance allowance","Caste, Income, Aadhaar, Admission slip"
Swami Vivekananda Youth Empowerment Scholarship,For bright UG & PG students (merit + income criteria),Online,Merit-based assistance,"Marksheet, Aadhaar, Income certificate"
State Government Fellowship for Girls (PG),For PG girl students in Gujarat,Online,Fellowship for higher education,"Aadhaar, Admission slip, Identity proof"
Disabled Students Post-Matric Scholarship,For UG & PG students with ≥40% disability,Online,"Tuition, exam, maintenance","Disability certificate, Aadhaar, Bank details"
National Means-cum-Merit + State Topper Benefits (Continued in UG/PG),Continuation benefit for students who earlier received NMMS/NTS till higher studies,Online,"Stipend, merit award","Previous scholarship proof, Aadhaar, Admission slip"
