TOURISM & CULTURE,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Gujarat Tourism Policy 2021-2025,Incentives for investors in tourism infrastructure,Online/Hybrid,"Capital subsidy, tax incentives, single-window clearance","Project Report, Land Documents, Company Registration"
Heritage Tourism Incentive Scheme,Support for conservation and adaptive reuse of heritage sites,Hybrid,"Financial aid, technical support, recognition","Ownership Proof, Heritage Listing Certificate, Aadhaar"
Home Stay Promotion Scheme,Encouragement for locals to offer homestays to tourists,Offline/Online,"Marketing support, training, tax concessions","Aadhaar, House Ownership Proof, Local Authority NOC"
Heritage Hotels Incentive Program,Conversion of old havelis/palaces into hotels,Offline/Hybrid,"Capital subsidy, GST concessions, tourism promotion","Property Proof, Project Report, Hotel Registration"
Saputara Tourism Development Project,"Support for eco-tourism, ropeways, hotels in Saputara",Offline,"Infra support, marketing, concessional land lease","Project Proposal, Land Records, Aadhaar"
Gir Lion Safari & Eco-Tourism Initiative,Facilities to boost eco-tourism around Gir National Park,Offline/Hybrid,"Safari permits, eco-lodges, revenue sharing","Forest Dept Approval, Aadhaar, Business Plan"
Kutch Rann Utsav Festival Support,State-supported annual cultural festival in Kutch,Offline,"Promotion grants, stall allocations, local artisan sales","Event Permit, Artisan Registration, Aadhaar"
Garvi Gujarat Tourist Assistance Centres,Visitor facilitation centres with info & amenities,Hybrid,"Information, guides, bookings, safety services","Tourism Dept Approval, Aadhaar (operators)"
Swadesh Darshan (State Participation),Thematic circuits developed with central funding,Hybrid,"State facilitation, infra support, heritage conservation","Project Report, MoU with State, Aadhaar"
PRASAD Scheme (State-led Projects),Pilgrimage rejuvenation projects with MoT & Gujarat inputs,Hybrid,"Infrastructure, pilgrim facilities, cleanliness","State Govt Proposal, Land Documents, Temple Trust Consent"
Statue of Unity Tourism Development,Facilities & projects around Kevadia tourism hub,Hybrid,"Job creation, hotels, ropeway, cruise, eco-tourism","Company Registration, Land Records, Aadhaar"
Kevadia Circuit Tourism Projects,State projects to link SOU with nearby attractions,Hybrid,"Improved connectivity, cultural circuits, eco parks","Project Proposal, Land Docs, Aadhaar"
Gujarat Eco-Tourism Development Board Schemes,"Programs for nature tourism, campsites, eco-lodges",Offline,"Employment, biodiversity conservation, subsidies","Forest Dept NOC, Aadhaar, Project Report"
Blue Flag Beach Certification Support,Support to make beaches meet Blue Flag eco-label,Hybrid,"Grants, infra funding, promotion","Coastal Authority Approval, Project Plan, Aadhaar"
Somnath Temple Area Development Projects,State-funded development of Somnath precinct,Offline,"Better pilgrim amenities, heritage preservation","Temple Trust Docs, Govt Approval, Aadhaar"
Dwarka Temple Precinct Redevelopment,Support for tourism facilities around Dwarka,Offline,"Infra support, facilities for pilgrims, marketing","Govt Order, Land Records, Aadhaar"
Champaner-Pavagadh World Heritage Site Support,Development & conservation around UNESCO site,Offline,"Conservation works, interpretation centres","ASI Approval, Heritage Docs, Aadhaar"
Ahmedabad Heritage City Tourism Programs,"Projects for guided tours, signage, promotion",Offline/Online,"Marketing, infrastructure, training guides","Municipal NOC, Heritage Listing, Aadhaar"
Tribal Tourism Promotion Scheme,Support to develop tribal culture tourism circuits,Offline,"Income for tribal artisans, homestays, craft promotion","Community Consent, Aadhaar, Cultural Proof"
Artisan Cluster Development Program,Support for handicraft/handloom tourism clusters,Offline,"Workshops, stalls, marketing, e-commerce links","Artisan Card, Aadhaar, Business Plan"
Handicraft & Handloom Tourism Promotion,Integration of craft with tourism marketing,Hybrid,"Stalls in fairs, global marketing, financial aid","Artisan Registration, Aadhaar, Bank Account"
Tour Guide Training & Certification,Skill program for tourist guides under state tourism,Hybrid,"Training, certification, placement support","Aadhaar, Educational Certificates, Local Language Proof"
Hospitality Skill Development Program,"Training youth for hotels, food services, tour ops",Hybrid,"Skill certificate, stipend, job placement","Aadhaar, Educational Proof, Bank Account"
Festival Tourism Promotion Scheme,State sponsorship of local cultural/folk festivals,Offline/Hybrid,"Grants, publicity, visitor facilitation","Event Approval, Cultural Proof, Aadhaar"
Cultural Heritage Digital Archive Project,"Digitization of manuscripts, folk arts, traditions",Online,"Cultural preservation, researcher access, recognition","Library/Institute Consent, Aadhaar"
Fairs & Festivals Infrastructure Grant,Support for amenities at melas & cultural fairs,Offline,"Public toilets, stalls, lighting, safety gear","ULB Approval, Event Permit, Aadhaar"
Tribal Museum Development Support,Grants to set up tribal museums in Gujarat,Offline/Hybrid,"Infra support, cultural preservation, tourist attraction","Museum Project Report, Land Docs, Aadhaar"
Folk Art & Theatre Promotion Scheme,"Support to folk artists, theatre groups, cultural troupes",Offline,"Financial assistance, exposure, cultural revival","Artist Registration, Aadhaar, Cultural Association Proof"
State Archaeological Site Conservation Grant,Support for conservation of state-protected monuments,Offline,"Restoration funding, signage, interpretation panels","ASI/State Approval, Site Docs, Aadhaar"
Cultural Research Fellowship (State),"Fellowships for research in history, culture, performing arts",Online/Offline,"Stipend, research grants, publication support","Proposal, Aadhaar, Academic Certificates"
Museum Development & Modernization Support,Upgradation of state/private museums,Offline,"Infra grants, digitization, capacity building","Museum Registration, Aadhaar, Project Proposal"
Performing Arts Training Centres Scheme,"Support for schools of classical dance, music, drama",Offline,"Grants, infrastructure, student stipends","Institute Approval, Aadhaar, Academic Proof"
Cinema & Film Tourism Promotion,Support to films shot in Gujarat & film festivals,Hybrid,"Subsidies, tax incentives, global marketing","Film Script Approval, Shoot Permissions, Aadhaar"
Heritage Walks & Interpretation Centres,State tourism program for heritage city walks,Offline/Online,"Guide training, signage, tourist engagement","Municipal NOC, Heritage Docs, Aadhaar"
