INDUSTRY & MSME,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Gujarat Industrial Policy Scheme,Supports industrial growth and investment in Gujarat,Online,"Investment Assistance, Subsidies, Training","Aadhaar Card, Business Registration"
Mukhyamantri Yuva Udyami Yojana,Promotes entrepreneurship among youth,Hybrid,"Startup Support, Loans, Mentorship","Aadhaar Card, Business Plan, Bank Account"
Gujarat MSME Credit Guarantee Scheme,Provides financial security for MSME loans,Offline,"Loan Guarantee, Credit Support","Aadhaar Card, Business Registration, Bank Account"
Chief Minister’s Start-Up Support Scheme,Supports innovative startups in Gujarat,Online,"Seed Funding, Mentorship, Incubation","Aadhaar Card, Business Plan"
Gujarat Cluster Development Program,Develops MSME clusters for productivity & marketing,Hybrid,"Skill Development, Infrastructure, Marketing","Aadhaar Card, MSME Registration"
Mukhyamantri Micro Enterprise Loan Scheme,Low-interest loans for micro enterprises,Offline,"Loan Assistance, Subsidy","Aadhaar Card, Business Registration, Bank Account"
Gujarat Export Promotion Scheme,Supports MSME exporters from Gujarat,Online,"Export Assistance, Training, Subsidies","Aadhaar Card, Business Registration, GST Number"
Chief Minister’s Industrial Infrastructure Scheme,Develops industrial parks and infrastructure,Hybrid,"Infrastructure Development, Subsidy","Aadhaar Card, Land/Business Proof"
Gujarat MSME Innovation Grant Scheme,Promotes technology adoption and innovation,Hybrid,"Research Funding, Technical Assistance","Aadhaar Card, Business Plan"
Mukhyamantri Udyog Mitra Scheme,Assists new entrepreneurs with guidance and support,Offline,"Advisory, Skill Training, Mentorship","Aadhaar Card, Business Registration"
Gujarat Skill Development for Industry Scheme,Training for industry-relevant skills,Online,"Workshops, Certification, Placement","Aadhaar Card, Education Proof"
Gujarat Industrial Energy Efficiency Scheme,Promotes energy-efficient industrial practices,Hybrid,"Subsidy, Energy Audits","Aadhaar Card, Business Registration"
Chief Minister’s Women Entrepreneurship Scheme,Encourages women-led MSMEs,Online,"Loan Assistance, Training, Subsidy","Aadhaar Card, Business Registration, Gender Proof"
Gujarat MSME Technology Upgradation Scheme,Supports modernization of MSME units,Hybrid,"Machinery Upgrade, Training, Subsidy","Aadhaar Card, Business Registration"
Mukhyamantri Micro & Small Enterprise Development Scheme,Capacity building for small enterprises,Offline,"Training, Advisory, Market Linkages","Aadhaar Card, MSME Registration"
Gujarat Industrial Water Supply Scheme,Provides water infrastructure support for industries,Hybrid,"Water Connection, Subsidy","Aadhaar Card, Business Registration, Land Proof"
Gujarat MSME Market Development Scheme,Helps MSMEs access domestic & international markets,Online,"Marketing Assistance, Trade Fairs","Aadhaar Card, MSME Registration"
Chief Minister’s Industrial Infrastructure Loan Scheme,Provides loans for industrial infrastructure,Hybrid,"Financial Assistance, Advisory","Aadhaar Card, Business Registration, Bank Account"
Gujarat MSME Cluster Technology Support Scheme,Promotes technology sharing and innovation in clusters,Hybrid,"Technical Assistance, Training","Aadhaar Card, MSME Registration"
Mukhyamantri Start-Up Seed Fund Scheme,Provides seed funding to early-stage startups,Online,"Funding, Mentorship","Aadhaar Card, Business Plan"
Gujarat Industrial Training & Incubation Scheme,Supports incubation centers and training for MSMEs,Hybrid,"Incubation, Skill Development, Advisory","Aadhaar Card, Business Plan"
Gujarat MSME Export Facilitation Scheme,Facilitates exports by MSMEs,Offline,"Documentation Support, Subsidy","Aadhaar Card, GST Number, MSME Registration"
Chief Minister’s Rural Industry Promotion Scheme,Promotes industries in rural areas of Gujarat,Online,"Training, Subsidy, Infrastructure","Aadhaar Card, Business Registration"
Gujarat MSME Startup Incubation Support Scheme,Supports incubation and mentoring for MSME startups,Hybrid,"Incubation, Mentorship, Training","Aadhaar Card, Business Plan"
Mukhyamantri Udyami Shakti Yojana,Encourages entrepreneurship through financial and skill support,Hybrid,"Loans, Training, Advisory","Aadhaar Card, Business Registration"
Gujarat MSME Marketing & Branding Scheme,Supports marketing and branding of MSME products,Online,"Marketing Assistance, Exhibitions","Aadhaar Card, MSME Registration"
Gujarat Industrial Infrastructure Development Fund Scheme,Provides funds and subsidies for industrial infrastructure projects,Hybrid,"Subsidy, Infrastructure Development","Aadhaar Card, Land/Business Proof"
Chief Minister’s Technology & Innovation Scheme,Promotes technology adoption and innovation in MSMEs,Hybrid,"Research Funding, Training","Aadhaar Card, Business Plan"
Gujarat MSME Financial Assistance Scheme,Provides financial aid to small businesses,Offline,"Loan Support, Subsidy","Aadhaar Card, Bank Account, Business Registration"
Mukhyamantri Women MSME Loan Scheme,Low-interest loans for women entrepreneurs,Online,"Loan Assistance, Mentorship","Aadhaar Card, Gender Proof, Bank Account"
Gujarat Industrial Skill Development Program,Skill development for industrial workforce,Hybrid,"Workshops, Training, Certification","Aadhaar Card, Education Proof"
Gujarat MSME Cluster Modernization Scheme,Modernizes MSME clusters through technology and training,Hybrid,"Machinery Upgrade, Training","Aadhaar Card, MSME Registration"
Chief Minister’s Rural Enterprise Development Scheme,Supports small rural enterprises for sustainable growth,Hybrid,"Training, Advisory, Subsidy","Aadhaar Card, Business Registration"
Gujarat MSME Infrastructure Support Scheme,Provides infrastructure support for MSMEs,Hybrid,"Industrial Shed, Subsidy, Advisory","Aadhaar Card, Land/Business Proof"
