HEALTH AND WELLNESS SCHEMES,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
ICDS – Anganwadi Services,"Nutrition, preschool education, health check-ups, immunisation (0–6)",Hybrid,"Hot cooked meals, THR, growth monitoring, health referrals ","Aadhaar/birth certificate, proof of residence"
Doodh Sanjeevani Yojana,"Fortified milk (100 ml for children, 200 ml for mothers weekly)",Offline,Nutrient-rich milk via Anganwadi centres,Anganwadi beneficiary record
Khilkhilat Neonatal Ambulance,Pink ambulances providing free transport for mother & newborn reiteration,Offline,"Home transport, nutrition kit, vaccination info","Hospital discharge slip, Aadhaar/birth certificate"
Vahli Dikri Yojana,Financial support for education/marriage of 1st & 2nd girls,Offline,"Cash payments at Class 1 (₹4k), 9 (₹6k), higher ed/marriage (₹100k)","Birth certificate, domicile proof, income & caste certificates, bank details"
Shala Praveshotsav,"Annual enrolment drive for classes K, 1, 9, 11; includes scholarships",Hybrid,"School enrolment, awareness, sapling planting, kit distribution","School admission forms, Aadhaar/birth certififcate"
Namo Lakshmi Yojana,Financial aid for girls in Classes 9–12 (₹500–₹750 x 10 mo + boards bonus),Hybrid,"₹500/mo for 9–10, ₹750/mo for 11–12 + ₹10k/15k exam bonus",School & family details in DBT registry
Namo Saraswati Vigyan Sadhana,Reward for science-stream students in 11–12,Online,₹1k/mo x 10 mo + ₹5k post-Class 12 exam,"School enrollment proof, DBT-linked bank account"
Mukhyamantri Gyan Sadhana,Merit scholarship for Classes 1–8 students,Online,	Scholarships via DBT,School enrollment + academic performance details
Mukhyamantri Gyan Setu,Grants for completing Class 5,Online,Merit scholarship via DBT,Academic records + enrollment proof
Kanya Kelavani Mahotsav,Annual enrolment boost drive for girls (all grades),Hybrid,"Accelerated admission push, scholarship rollout starts","Admission forms, birth certificate"
