TRANSPORT & INFRASTRUCTURE,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Gujarat Road Development Corporation Projects,State road building & widening projects,Offline/Hybrid,"Better roads, connectivity, reduced travel time","Project Report, Land Acquisition Docs, Aadhaar"
Mukhyamantri Gram Sadak Yojana,Rural road connectivity program,Offline,"All-weather village roads, employment generation","Gram Panchayat Certificate, Aadhaar, Land Docs"
Smart City Mission (Gujarat Component),Urban infra projects under Smart City plan,Hybrid,"Smart transport, e-mobility, waste management","City Proposal, ULB Approval, Aadhaar"
Ahmedabad Metro Rail Project,Mass rapid transport system for Ahmedabad,Offline,"Metro services, reduced traffic, job creation","Company Registration, Project Plan, Aadhaar"
Surat Metro Rail Project,Metro transport system for Surat city,Offline,"Modern transport, fast commuting, employment","Company Registration, Project Report, Aadhaar"
Gujarat State Road Transport Corporation (GSRTC) Modernization,"Upgradation of bus depots, services, fleet",Hybrid,"Better buses, IT-enabled ticketing, safety","Driving License, Aadhaar, Bus Operator Docs"
Port-led Development Program,Development of coastal & port infrastructure,Offline,"Better cargo handling, logistics support, trade","Land Documents, Business Registration, Aadhaar"
Bharatmala (State Component),NH expansion projects within Gujarat,Hybrid,"Expressways, bypasses, reduced travel time","MoRTH Approval, Land Records, Aadhaar"
Sagarmala Projects in Gujarat,Port connectivity & logistics infra under Sagarmala,Offline,"Coastal infra, cargo hubs, port rail links","MoU, Land Acquisition, Aadhaar"
Dedicated Freight Corridor (Gujarat Section),Rail corridor for goods transport,Offline,"Reduced cargo time, industrial boost","Railway Approval, Business Proof, Aadhaar"
Mukhyamantri Shaheri Sadak Yojana,Urban road improvement program,Offline,"Improved city roads, safety, drainage","ULB Approval, Aadhaar, Land Records"
Gujarat State Highway Development Program,Expansion & strengthening of SH network,Offline,"Smoother connectivity, reduced travel time","Project Report, Land Docs, Aadhaar"
Industrial Corridor Development (DMIC/DFC Nodes),Infra support for industries in corridor areas,Hybrid,"Industrial plots, roads, utilities, logistics","Industrial MoU, Land Proof, Aadhaar"
Urban Mass Transport Scheme,"Support for BRTS, electric buses in Gujarat cities",Offline/Hybrid,"Subsidy, better public transport, clean mobility","ULB Proposal, Bus Operator License, Aadhaar"
Mukhyamantri Pul Nirman Yojana,Bridge construction across rivers & canals,Offline,"Better connectivity, reduced travel time","Engineering Design, Land Docs, Aadhaar"
State Logistics & Warehousing Policy,"Infra for warehouses, cold storage, logistics parks",Hybrid,"Capital subsidy, land support, GST incentives","Business Registration, Land Proof, Aadhaar"
Airport Modernization Projects (State Participation),Upgradation of regional airports,Offline,"Better air connectivity, infra support, tourism boost","Aviation Approval, Land Docs, Aadhaar"
Mukhyamantri Shaheri Vikas Yojana,Integrated urban infra & transport projects,Offline,"Urban roads, flyovers, bus stands, drainage","ULB Approval, Aadhaar, Land Documents"
PM Gati Shakti (State Component),Infra coordination & planning via digital platform,Online/Hybrid,"Integrated infra, faster approvals, efficiency","Project Proposal, Aadhaar, State Approval"
Mukhyamantri Nagar Vikas Yojana,Infra support to smaller towns,Offline,"Bus depots, roads, sanitation, street lighting","ULB Docs, Aadhaar, Land Proof"
Sabarmati Riverfront Development Project,Urban infra & tourism development project,Offline,"Recreation, transport, housing, walkways","ULB NOC, Land Proof, Aadhaar"
Bus Rapid Transit System (Ahmedabad),Fast-lane bus transport in Ahmedabad city,Offline/Hybrid,Affordable rapid public transport,"Bus Operator License, Aadhaar, ULB Approval"
Surat BRTS (Sitilink),Bus rapid transport for Surat city,Offline,"Reduced congestion, faster commute","ULB NOC, Bus Operator Docs, Aadhaar"
Vadodara Urban Transport Improvement Projects,City bus & infra upgradation,Offline,"Modern buses, better roads, infra support","ULB Docs, Aadhaar, Operator License"
Rajkot Urban Transport Improvement Projects,"City bus modernization, infra",Offline,"Affordable mobility, job creation","ULB Docs, Aadhaar, Operator License"
Mukhyamantri Gramin Pul Yojana,Bridge development in rural regions,Offline,"Rural connectivity, faster access to markets","Gram Panchayat Approval, Land Docs, Aadhaar"
State E-Mobility Promotion Policy,"Incentives for EVs, charging infra",Online/Hybrid,"Subsidies, charging infra support, tax concessions","EV Purchase Proof, Aadhaar, Bank Account"
Mukhyamantri Shaheri Parking Yojana,Support for multi-level parking facilities,Offline,"Better traffic management, infra support","ULB Approval, Land Proof, Aadhaar"
State Industrial Township Road Development,Road infra inside industrial estates,Offline/Hybrid,"Better transport for industries, subsidies","GIDC Approval, Business Proof, Aadhaar"
Highway Safety & Infra Program,Road safety improvements on SH/NH,Offline,"Signages, lighting, dividers, emergency support","RTO Approval, Aadhaar, Road Project Docs"
GIDC Industrial Infrastructure Upgradation,Upgradation of industrial parks by GIDC,Hybrid,"Roads, drains, power, utilities, subsidy","GIDC NOC, Land Docs, Aadhaar"
Mukhyamantri Shaheri Pul Yojana,Flyovers & overbridges in cities,Offline,"Decongestion, faster mobility","ULB Proposal, Engineering Plan, Aadhaar"
Rural Housing & Infrastructure Development,"Basic infra in villages (roads, drainage, halls)",Offline,"Employment, connectivity, housing support","Gram Panchayat Docs, Aadhaar, Land Proof"
Mukhyamantri Shaheri Pul Nirman Yojana,Bridge/culvert development in cities,Offline,"Connectivity, reduced congestion","ULB Approval, Engineering Docs, Aadhaar"
State Green Transport Corridors,Support for eco-friendly transport infra,Offline/Hybrid,"Subsidies, EV buses, charging stations","EV Project Proposal, Aadhaar, Land Proof"
Mukhyamantri Shaheri Sadak Sudhar Yojana,Urban road renewal program,Offline,"Road resurfacing, lighting, safety works","ULB Approval, Land Docs, Aadhaar"
Mukhyamantri Shaheri Bus Stand Yojana,Modern bus stands in towns & cities,Offline,"Infra upgrade, better facilities","ULB Docs, Land Proof, Aadhaar"
Integrated Urban Infrastructure Program,Cluster-based infra planning for cities,Offline/Hybrid,"Sewerage, water, roads, transport links","ULB Approval, Aadhaar, Project Report"
Mukhyamantri Shaheri Flyover Yojana,Flyover construction in congested zones,Offline/Hybrid,"Traffic decongestion, infra boost","ULB Approval, Engineering Docs, Aadhaar"
Mukhyamantri Shaheri Rail Overbridge Scheme,Overbridges at level crossings in cities,Offline/Hybrid,"Safety, faster commute","Railway Approval, ULB Docs, Aadhaar"
Mukhyamantri Rural Connectivity Yojana,"Rural road, bridge, culvert infra",Offline,"All-weather rural connectivity, subsidy","Gram Panchayat Docs, Aadhaar, Land Proof"
Mukhyamantri Shaheri Infrastructure Grant Scheme,Infra grant to ULBs for projects,Offline,Financial support for infra works,"ULB Proposal, Aadhaar, Land Proof"
Mukhyamantri Shaheri Bus Rapid Transit Expansion,Expansion of BRTS corridors,Offline,"Faster city commuting, reduced congestion","ULB Approval, Bus Operator Docs, Aadhaar"
Mukhyamantri Shaheri Lakefront Development,Infra development near urban lakes,Offline/Tourism link,"Parks, walkways, lighting, beautification","ULB Approval, Land Proof, Aadhaar"
Mukhyamantri Shaheri Public Transport Upgradation,"Support for e-buses, GPS-enabled buses",Offline/Hybrid,"Subsidy, modern fleet","Operator License, ULB Docs, Aadhaar"
Mukhyamantri Shaheri Parking Infra Yojana,Multi-level parking facility subsidies,Offline,"Decongestion, infra boost","ULB Approval, Land Docs, Aadhaar"
Mukhyamantri Shaheri Sewage Infra Support,Urban sewage infra expansion,Offline,"Drainage, sanitation, infra support","ULB Approval, Project Plan, Aadhaar"
Mukhyamantri Shaheri Streetlight Infra Yojana,Smart streetlights installation support,Offline/Hybrid,"Energy saving, safer roads","ULB Approval, Electricity NOC, Aadhaar"
Mukhyamantri Shaheri Drainage Infra Scheme,City drainage infra development,Offline,"Flood prevention, infra upgrade","ULB Docs, Land Records, Aadhaar"
Mukhyamantri Shaheri Water Supply Infra Yojana,Water infra for towns & cities,Offline,"Pipelines, tanks, better supply","ULB Approval, Land Docs, Aadhaar"
Mukhyamantri Shaheri Smart Infra Yojana,Smart sensors & IoT-based infra,Online/Hybrid,"Smart roads, surveillance, e-governance","Project Proposal, ULB Approval, Aadhaar"
Mukhyamantri Shaheri Railway Station Redevelopment,State participation in station upgradation,Offline,"Modern stations, infra boost, tourism","Railway MoU, Land Docs, Aadhaar"
Mukhyamantri Rural Market Infra Yojana,Support for rural haats & mandi infra,Offline,"Shops, sheds, cold storage, transport access","Gram Panchayat Approval, Aadhaar, Land Proof"
Mukhyamantri Shaheri Logistic Parks Scheme,Support for logistics parks in urban zones,Offline/Hybrid,"Subsidy, infra, connectivity","Business Registration, Land Proof, Aadhaar"
Mukhyamantri Shaheri Industrial Corridor Infra Support,Infra for city-based industrial corridors,Offline,"Better roads, sheds, utilities","GIDC Approval, Land Proof, Aadhaar"
Mukhyamantri Shaheri Green Mobility Yojana,"Promotion of cycling tracks, EV infra",Offline/Hybrid,"Clean mobility, infra support","ULB Approval, Land Proof, Aadhaar"
Mukhyamantri Shaheri Urban Rail Infra Scheme,Support for new rail-based urban transport,Offline,"Monorail/LRT projects, feasibility support","Railway MoU, Land Docs, Aadhaar"
Mukhyamantri Shaheri Ropeway Infra Yojana,Ropeway transport projects in urban zones,Offline/Hybrid,"Tourism + transport, infra subsidy","ULB Approval, Land Proof, Aadhaar"
