ENVIRONMENT & RENEWABLE ENERGY,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Surya Gujarat (Surya Urja Rooftop Yojana),Rooftop solar promotion for residential & institutional consumers,Online/Hybrid,"Subsidy for rooftop systems, net metering, lower electricity bills","Aadhaar Card, Electricity Bill, Property Proof, Bank Account"
PM Surya Ghar Muft Bijli (state rollout),National rooftop scheme implemented in Gujarat for households,Online/Hybrid,"Free electricity up to threshold, central subsidy for installations","Aadhaar Card, Ration Card/Electricity Bill, Bank Account"
Gujarat Renewable Energy Policy - RE Park Facilitation,Support to set up solar/wind/hybrid parks on private/government land,Hybrid,"Land facilitation, single-window clearances, fiscal incentives","Project Report, Land/Lease Documents, Company Registration"
State Solar Park Development Scheme,Development & allotment of land for large solar parks,Hybrid,"Infrastructure support, grid connectivity, land lease assistance","Land Documents, Project Proposal, Company Registration"
Rooftop Solar for Government Buildings,"Installations of solar on schools, hospitals, government offices",Hybrid,"Zero/low-cost installations, energy savings, demonstration sites","Dept. Approval, Building Ownership Proof, Aadhaar"
Solarization of Agriculture Pumps (State Program),Solar pumps and pump retrofits for farmers to reduce diesel use,Offline,"Subsidized solar pumps, reduced operating cost, energy reliability","Land Proof, Kisan Card/Patta, Aadhaar, Bank Account"
Solar Water Pump Subsidy for Farmers,Subsidy for solar-powered irrigation pumps to replace diesel pumps,Offline,"Subsidy on pump cost, installation support, energy savings","Khasra/Khatuni, Aadhaar, Bank Account"
Solar Microgrids for Remote Villages,Small community microgrids to electrify off-grid habitations,Offline/Hybrid,"Community power, micro-enterprise support, managed O&M","Community Consent, Land Use Proof, Aadhaar (beneficiaries)"
Fully Solarised Village Pilot (State-led),Whole-village solarization pilot (rooftop + microgrid),Offline,"Community energy, tariff relief, local jobs","Gram Panchayat Consent, Aadhaar, Village Land Records"
State Net Metering Facilitation Program,Enables net-metering permissions & fast approvals for rooftop solar,Online,"Faster approvals, billing benefits, export of surplus power","Electricity Bill, Aadhaar, Solar Installer Contract"
Solarization of Health Centres (PHC/CHC),Rooftop & backup solar for rural health facilities,Hybrid,"Uninterrupted power for health services, lower operation cost","Facility Approval, Building Proof, Aadhaar (operator)"
Solar Street Lighting Program,State program to convert street lights to solar LED,Offline,"Reduced municipal bills, lower maintenance, reliable lighting","Municipal Approval, Site Details, Aadhaar (implementing agency)"
State Subsidy for Community Biogas Units,Support for community/household biogas plants for cooking,Offline,"Reduced LPG dependency, organic manure, clean cooking","Aadhaar, Land/House Proof, Village Consent"
Gujarat Wind Power Facilitation Initiative,Support to set up wind farms and connect to state grid,Hybrid,"Land allotment, connectivity support, developer incentives","Land Documents, Company Registration, Environmental Clearance"
Hybrid Renewable Energy Park Incentive,Hybrid (wind+solar) park development support,Hybrid,"Infrastructure facilitation, grid servicing assistance","Project Report, Land Documents, Company Registration"
