SKILL DEVELOPMENT & EMPLOYEMENT,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Gujarat Skill Development Mission - PMKVY Implementation,State implementation of Pradhan Mantri Kaushal Vikas Yojana to train youth in industry-relevant skills,Hybrid,"Free/paid training, certification, placement assistance","Aadhaar Card, Educational Proof, Domicile Certificate"
MBKVY (Strengthening State ITIs),Modernisation and short-term NSQF-aligned courses through ITIs to enhance employability,Hybrid,"Short-term courses, certification, better ITI facilities","Aadhaar Card, ITI Admission Proof, Educational Proof"
Saksham - KVK 2.0,Taluk/cluster level skill training initiative by GSDM to reach rural beneficiaries,Offline/Hybrid,"Localized skill training, certification, entrepreneurship linkages","Aadhaar Card, Domicile Certificate, Educational Proof"
Mukhyamantri Apprenticeship Scheme (Gujarat),Apprenticeship placement incentives for industries to hire and train youth,Hybrid,"Stipend support, employer incentives, on-the-job training","Aadhaar Card, Educational Proof, PAN (if available)"
Mukhyamantri Udyog Kaushalya Vardhan Internship Yojana,Gujarat state internship scheme linking students with industry internships,Offline/Hybrid,"Stipend for interns, industry exposure, possible placements","Aadhaar Card, College ID, Resume/Academic Proof"
Kaushalya — The Skill University Programs,Degree and diploma level skill-oriented courses and placement support,Hybrid,"Skill degrees, internships, campus placements","Aadhaar Card, Academic Records, Admission Proof"
Mukhyamantri Bhavishyalakshi Kaushalya Vikas Yojana,"Future-ready curriculum integration (cloud, data, renewable energy) in skilling",Hybrid,"Advanced tech courses, certification, industry tie-ups","Aadhaar Card, Educational Proof, Domicile Certificate"
State Sector Skill Councils (Gujarat) Initiative,Creation of sector-specific councils to design curricula and placements,Hybrid,"Sector curricula, employer networks, placements","Aadhaar Card, Educational Proof, Employer/Institute Details"
Short-Term Job Skill Development Courses (State Portal),State-run short courses for immediate employability (various trades),Online/Hybrid,"Short certificate courses, placement facilitation","Aadhaar Card, Educational Proof, Application Form"
Apprenticeship Promotion Incentive Scheme (State),Financial incentives to employers for engaging apprentices,Hybrid,"Wage support/incentive, apprenticeship certification","Aadhaar Card, Educational Proof, Employer Registration"
Kaushalya University - Placement Linked Certificate Courses,Industry-aligned certificate courses with mandatory placements,Hybrid,"Course fee support, campus interviews, placement assistance","Aadhaar Card, Academic Records, Course Application"
Rural Skill Hubs (GSDM),Skill centers in rural talukas to train youth in local trades,Offline,"Training, certification, rural employment linkages","Aadhaar Card, Domicile Certificate, Educational Proof"
Women Skill Empowerment (State Schemes),Targeted skilling programs for women to increase employability,Offline/Hybrid,"Female-only training batches, entrepreneurship support","Aadhaar Card, Gender Proof, Educational Proof"
Skill Training for SC/ST Youth (State Beneficiary Program),Reserved beneficiary slots and stipend-based training for SC/ST youth,Offline/Hybrid,"Preferential training seats, stipend, placement support","Aadhaar Card, Caste Certificate, Domicile Certificate"
MSME Workforce Upskilling Scheme (State),Skilling and upskilling program targeted at MSME workers,Hybrid,"On-site training, productivity grants, certification","Aadhaar Card, MSME Registration (or Employer Letter), Educational Proof"
Cluster Based Skill Development (State Initiative),Skill development programs aligned with local industrial clusters,Hybrid,"Cluster-specific training, employer placements","Aadhaar Card, Domicile Certificate, Employer/Cluster Letter"
Training of Trainers (ToT) Gujarat,Capacity building for trainers to improve training quality,Offline,"Trainer certification, stipend for training deliveries","Aadhaar Card, Educational/Professional Proof, Experience Documents"
Kaushalya Scholarship & Fee Support (State-linked),Fee concessions and scholarships for meritorious/poor students in skill courses,Hybrid,"Partial/full fee waiver, living allowance (where applicable)","Aadhaar Card, Income Certificate, Admission Proof"
