SOCIAL JUSTIC & WELFARE,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Indira Gandhi National Old Age Pension Scheme,Provides financial assistance to elderly individuals living below the poverty line,Offline,Monthly pension,"Aadhaar Card, Age Proof, Income Certificate"
Indira Gandhi National Widow Pension Scheme,Offers financial support to widows living below the poverty line,Offline,Monthly pension,"Aadhaar Card, Widow Certificate, Income Certificate"
National Family Benefit Scheme (NFBS),Provides one-time financial assistance to families living below the poverty line upon the death of the primary breadwinner,Offline,One-time cash assistance,"Aadhaar Card, Death Certificate, BPL Certificate"
Ganga Swarupa Yojana,Offers financial assistance to widows for their upliftment,Offline,Monthly pension,"Aadhaar Card, Widow Certificate, Income Certificate"
Indira Gandhi National Disability Pension Scheme (IGNDPS),Provides financial assistance to individuals with disabilities living below the poverty line,Offline,Monthly pension,"Aadhaar Card, Disability Certificate, Income Certificate"
Rajiv Gandhi National Fellowship for Other Backward Classes (OBCs),Offers financial assistance to OBC students for pursuing higher studies,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Post-Matric Scholarship Scheme for SC Students,Provides financial assistance to Scheduled Caste students pursuing post-matriculation studies,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Pre-Matric Scholarship for Children of Those Engaged in Unclean Occupations,Offers financial assistance to children of individuals engaged in unclean occupations,Online,Scholarship,"Aadhaar Card, Caste Certificate, Parent's Occupation Proof"
National Overseas Scholarship for SC Students,Provides financial assistance to Scheduled Caste students for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Overseas Scholarship for Persons with Disabilities (PWD),Offers financial assistance to persons with disabilities for pursuing higher studies abroad,Online,Scholarship,"Aadhaar Card, Disability Certificate, Admission Proof"
Top Class Education for Meritorious SC Students,Provides financial assistance to meritorious Scheduled Caste students for pursuing higher education in top institutions,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
National Family Benefit Scheme (NFBS) – SankatMochan,Offers one-time financial assistance to families living below the poverty line upon the death of the primary breadwinner,Offline,One-time cash assistance,"Aadhaar Card, Death Certificate, BPL Certificate"
Pre-Matric Scholarship for SC Students,Provides financial assistance to Scheduled Caste students studying in classes IX and X,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Post-Matric Scholarship for SC Students,Offers financial assistance to Scheduled Caste students pursuing post-matriculation studies,Online,Scholarship,"Aadhaar Card, Caste Certificate, Admission Proof"
Pre-Matric Scholarship for Children of Those Engaged in Unclean Occupations,Provides financial assistance to children of individuals engaged in unclean occupations,Online,Scholarship,"Aadhaar Card, Caste Certificate, Parent's Occupation Proof"
