WOMEN EMPOWERMENT & CHILD DEVELOPMENT SCHMES,,,,
,,,,
,,,,
,,,,
,,,,
SCHEME NAME,DESCRIPTION,STATUS,SERVICES,DOCUMENTS NEEDED
Beti Bachao Beti Padhao (BBBP),"Promotes survival, protection and education of the girl child",Offline,"Awareness Campaigns, Education Support","Aadhaar Card, Birth Certificate"
Pradhan Mantri Matru Vandana Yojana (PMMVY),Provides financial assistance to pregnant and lactating women,Hybrid,"Cash Incentive, Nutrition Support","Aadhaar Card, Pregnancy Certificate, Bank Account"
One Stop Centre Scheme,Provides integrated support to women affected by violence,Offline,"Medical Aid, Counseling, Shelter","Aadhaar Card, Police Report (if available)"
Women Helpline Scheme,24x7 helpline to provide immediate assistance to women in distress,Online,"Helpline Support, Counseling","Aadhaar Card, Mobile Number"
Integrated Child Development Services (ICDS),"Provides health, nutrition, and preschool education to children",Offline,"Anganwadi Services, Nutrition Kits","Aadhaar Card, Birth Certificate"
Pradhan Mantri Ujjwala Yojana,Provides free LPG connections to women from poor households,Hybrid,"LPG Connection, Subsidy","Aadhaar Card, Ration Card, Address Proof"
Working Women Hostel Scheme,Provides safe and affordable accommodation for working women,Offline,"Hostel Facility, Childcare Support","Aadhaar Card, Employment Proof"
Support to Training and Employment Programme (STEP),Provides skills and training to women for employment,Hybrid,"Skill Training, Employment Assistance","Aadhaar Card, Training Enrollment"
Sukanya Samriddhi Yojana,Savings scheme for the girl child,Online,"Interest on Deposits, Long-term Savings","Aadhaar Card, Birth Certificate, Bank Account"
Pradhan Mantri Janani Suraksha Yojana (JSY),Provides financial aid for institutional delivery,Offline,"Cash Incentives, Hospital Support","Aadhaar Card, Pregnancy Certificate, Bank Account"
Mahila E-Haat,Online marketing platform for women entrepreneurs,Online,"E-Marketplace, Business Support","Aadhaar Card, Bank Account, Business Proof"
National Creche Scheme,Provides daycare facilities for children of working mothers,Offline,"Childcare, Nutrition, Early Education","Aadhaar Card, Birth Certificate"
Pradhan Mantri Mahila Shakti Kendra (MSK),Empowers rural women through community participation,Hybrid,"Skill Training, Awareness Programs","Aadhaar Card, Residence Proof"
SWADHAR Greh,Provides shelter and support to women in difficult circumstances,Offline,"Shelter, Food, Counseling","Aadhaar Card, Proof of Identity"
National Nutrition Mission (POSHAN Abhiyaan),Improves nutritional outcomes for children and women,Hybrid,"Nutrition Kits, Growth Monitoring","Aadhaar Card, Birth Certificate, Health Card"
Kishori Shakti Yojana,Empowers adolescent girls with education and life skills,Offline,"Training, Nutrition Support","Aadhaar Card, Birth Certificate, School ID"
Mahila Police Volunteers,Connects women with police services in communities,Offline,"Awareness, Safety Support","Aadhaar Card, Residence Proof"
Stree Shakti Package For Women Entrepreneurs,Encourages women-led businesses through financial support,Hybrid,"Credit, Subsidy, Loan Assistance","Aadhaar Card, Bank Account, Business Registration"
Pradhan Mantri Vandana Yojana,Provides social security for women above 60 years,Online,"Pension Scheme, DBT","Aadhaar Card, Age Proof, Bank Account"
Rajiv Gandhi National Creche Scheme,Day-care services for children of working women,Offline,"Nutrition, Early Education","Aadhaar Card, Birth Certificate"
Ujjawala Scheme,Rescue and rehabilitation of women and children victims of trafficking,Offline,"Shelter, Counseling, Rehabilitation","Aadhaar Card, Proof of Identity"
Mahila Samakhya Programme,Promotes women’s education and empowerment in rural areas,Offline,"Education, Awareness Campaigns","Aadhaar Card, Residence Proof"
Sakhi One Stop Centre,"Provides medical, legal, and psychological support to women",Offline,"24x7 Crisis Support, Shelter","Aadhaar Card, Police Report (if available)"
Pradhan Mantri Rozgar Protsahan Yojana,Encourages women employment by supporting EPF contributions,Hybrid,"Employment Support, Financial Incentives","Aadhaar Card, Employment Proof"
National Mission for Empowerment of Women,Integrates various schemes for holistic development of women,Hybrid,"Training, Legal Assistance, Financial Support","Aadhaar Card, Residence Proof"
Balika Samriddhi Yojana,Provides financial support to the girl child from birth to education,Offline,"Cash Incentives, Education Aid","Aadhaar Card, Birth Certificate, Bank Account"
Gender Budgeting Scheme,Ensures gender-responsive planning and budgeting,Online,"Policy Support, Training Programs","Aadhaar Card, Govt Registration"
Priyadarshini Scheme,Promotes self-help groups for women in backward districts,Hybrid,"Skill Development, Credit Support","Aadhaar Card, SHG Membership Proof"
Dhanalakshmi Scheme,Conditional cash transfer for the girl child,Offline,"Cash Incentives, Education Benefits","Aadhaar Card, Birth Certificate, Bank Account"
Sabla Scheme (RGSEAG),Empowers adolescent girls through education and nutrition,Hybrid,"Skill Training, Nutrition Kits","Aadhaar Card, Birth Certificate, School ID"
Mukhyamantri Amrutum Yojana,Free healthcare services for women and children,Offline,"Medical Treatment, Hospitalization","Aadhaar Card, Health ID"
Chief Minister Kanya Kelavani Yojana,Supports education of girls in Gujarat,Online,"Scholarship, Tuition Support","Aadhaar Card, School ID"
Gujarat State Nutrition Program,Improves child and maternal nutrition,Offline,"Nutrition Supplements, Health Checkups","Aadhaar Card, Health Card"
Mukhyamantri Bal Seva Yojana,Provides financial aid for orphaned children,Hybrid,"Cash Assistance, Education Aid","Aadhaar Card, Birth Certificate"
Gujarat Women’s Self Employment Program,Supports women entrepreneurs,Online,"Skill Training, Loan Assistance","Aadhaar Card, Business Proof"
Mukhyamantri Mahila Utkarsh Yojana,Provides microfinance to women SHGs,Hybrid,"Credit Support, Training","Aadhaar Card, SHG Membership Proof"
Chief Minister Anemia Mukt Gujarat Program,Reduces anemia among women and adolescent girls,Offline,"Health Checkups, Iron Supplements","Aadhaar Card, Health Card"
Gujarat Ladli Lakshmi Scheme,Financial assistance for girl child education,Online,"Cash Incentives, School Supplies","Aadhaar Card, Birth Certificate, Bank Account"
Mukhyamantri Yuva Shakti Yojana,Empowers young women with employment opportunities,Hybrid,"Skill Development, Job Placement","Aadhaar Card, Training Certificate"
Gujarat Working Women Safety Initiative,Ensures safety of women at workplaces,Offline,"Helpline, Security Measures","Aadhaar Card, Employment Proof"
Mukhyamantri Matrutva Yojana,Supports pregnant women with nutrition and healthcare,Offline,"Nutrition Kits, Health Monitoring","Aadhaar Card, Pregnancy Certificate"
Gujarat State Women Helpline,24x7 helpline for women in distress,Online,"Helpline Support, Counseling","Aadhaar Card, Mobile Number"
Mukhyamantri Balika Shiksha Yojana,Promotes girl child education in rural Gujarat,Hybrid,"Scholarship, Tuition Aid","Aadhaar Card, School ID"
Gujarat Child Protection Program,Protects children from abuse and neglect,Offline,"Shelter, Counseling, Legal Aid","Aadhaar Card, Birth Certificate"
Mukhyamantri Kanya Vivah Yojana,Financial aid for marriage of underprivileged girls,Offline,"Cash Support, Legal Assistance","Aadhaar Card, Age Proof"
Gujarat SHG Women Empowerment Scheme,Supports women SHGs with financial and training aid,Hybrid,"Credit, Skill Training","Aadhaar Card, SHG Membership Proof"
Mukhyamantri Bal Suraksha Yojana,Ensures safety and welfare of children in Gujarat,Online,"Shelter, Medical Aid, Education","Aadhaar Card, Birth Certificate"
Gujarat Mahila Swasthya Mission,Provides healthcare to women and adolescent girls,Offline,"Health Checkups, Awareness Programs","Aadhaar Card, Health Card"
Mukhyamantri Yuva Balika Samriddhi Yojana,Scholarship and support for girls’ higher education,Hybrid,"Cash Incentives, Coaching Aid","Aadhaar Card, School/College ID"
Gujarat Adolescent Girls Empowerment Program,Skill development for adolescent girls,Online,"Training, Mentorship, Guidance","Aadhaar Card, School ID"
Mukhyamantri Child Nutrition Program,Targets malnutrition among children,Offline,"Nutrition Kits, Health Monitoring","Aadhaar Card, Health Card"
